"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"Tal1 chimera processed counts (sample 1)","Processed counts for sample 1 for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/counts-processed-sample1.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
"Tal1 chimera processed counts (sample 2)","Processed counts for sample 2 for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/counts-processed-sample2.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
"Tal1 chimera processed counts (sample 3)","Processed counts for sample 3 for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/counts-processed-sample3.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
"Tal1 chimera processed counts (sample 4)","Processed counts for sample 4 for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/counts-processed-sample4.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
"Tal1 chimera rowData","Per-gene metadata for all samples for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/rowdata.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","genes.tsv.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
"Tal1 chimera colData (sample 1)","Per-cell metadata for sample 1 for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/coldata-sample1.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","meta.tab.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
"Tal1 chimera colData (sample 2)","Per-cell metadata for sample 2 for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/coldata-sample2.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","meta.tab.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
"Tal1 chimera colData (sample 3)","Per-cell metadata for sample 3 for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/coldata-sample3.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","meta.tab.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
"Tal1 chimera colData (sample 4)","Per-cell metadata for sample 4 for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/coldata-sample4.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","meta.tab.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
"Tal1 chimera size factors (sample 1)","Size factors for sample 1 for the Tal1 knock-out chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/tal1-chimera/1.0.0/sizefac-sample1.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_tal1_data","sizefactors.tab.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","Rds"
