"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"WT chimera processed counts","Processed count matrix for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/counts-processed-all.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera rowData","Per-gene metadata for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/rowdata.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","genes.tsv.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera colData","Per-cell metadata for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/coldata.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","meta.tab.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera size factors","Size factors for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/sizefac.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","sizefactors.tab.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera reduced dimensions","Reduced dimensions for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/reduced-dims.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","corrected_pcas.rds","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera raw counts (sample 1)","Raw counts for sample 1 for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/counts-raw-sample1.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","sample_1_unswapped.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera raw counts (sample 2)","Raw counts for sample 2 for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/counts-raw-sample2.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","sample_2_unswapped.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera raw counts (sample 3)","Raw counts for sample 3 for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/counts-raw-sample3.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","sample_3_unswapped.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera raw counts (sample 4)","Raw counts for sample 4 for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/counts-raw-sample4.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","sample_4_unswapped.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera raw counts (sample 5)","Raw counts for sample 5 for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/counts-raw-sample5.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","sample_5_unswapped.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera raw counts (sample 6)","Raw counts for sample 6 for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/counts-raw-sample6.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","sample_6_unswapped.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera raw counts (sample 7)","Raw counts for sample 7 for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/counts-raw-sample7.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","sample_7_unswapped.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"WT chimera raw counts (sample 8)","Raw counts for sample 8 for the WT chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/wt-chimera/1.0.0/counts-raw-sample8.rds","3.10","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_wt_data","sample_8_unswapped.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
